trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,ladder,HYPEUSDT,long,2025-10-01T12:00:00Z,2025-10-02T00:25:00Z,47.412399,47.554637,25720.33,45.79,0.1780,stale,745,disc,28.33
2,ladder,HYPEUSDT,long,2025-10-02T00:30:00Z,2025-10-02T01:30:00Z,47.378620,48.041920,2912.00,37.52,1.2885,tp,60,disc,3.23
3,ladder,HYPEUSDT,long,2025-10-02T01:50:00Z,2025-10-02T04:10:00Z,48.711357,49.393316,5953.28,76.67,1.2878,tp,140,disc,6.59
4,ladder,HYPEUSDT,long,2025-10-02T04:20:00Z,2025-10-02T09:20:00Z,49.134563,49.822447,25720.33,330.72,1.2858,tp,300,disc,28.49
5,ladder,HYPEUSDT,long,2025-10-02T09:25:00Z,2025-10-02T18:10:00Z,49.315259,50.005672,25720.33,329.81,1.2823,tp,525,disc,28.49
6,ladder,HYPEUSDT,long,2025-10-02T18:15:00Z,2025-10-02T19:15:00Z,50.034609,50.735094,1760.00,22.67,1.2883,tp,60,disc,1.95
7,ladder,HYPEUSDT,long,2025-10-02T19:20:00Z,2025-10-03T03:55:00Z,50.292161,50.443037,25720.33,46.82,0.1820,stale,515,disc,28.33
8,ladder,HYPEUSDT,long,2025-10-03T04:00:00Z,2025-10-03T15:45:00Z,49.562529,50.256405,25720.33,328.79,1.2783,tp,705,disc,28.49
9,ladder,HYPEUSDT,long,2025-10-03T15:50:00Z,2025-10-05T03:05:00Z,50.139809,50.290228,25720.33,38.36,0.1491,stale,2115,disc,28.33
10,ladder,HYPEUSDT,long,2025-10-05T03:10:00Z,2025-10-05T04:45:00Z,50.071076,50.772071,4294.40,55.32,1.2881,tp,95,disc,4.76
11,ladder,HYPEUSDT,long,2025-10-05T04:50:00Z,2025-10-05T07:25:00Z,50.595682,51.304022,7943.94,102.30,1.2877,tp,155,disc,8.80
12,ladder,HYPEUSDT,long,2025-10-05T07:35:00Z,2025-10-07T02:35:00Z,49.818555,46.801000,25720.33,-1598.37,-6.2144,flat,2580,disc,27.44
13,wed-short,HYPEUSDT,short,2025-10-08T18:10:00Z,2025-10-08T21:45:00Z,46.657000,46.190430,15000.00,133.50,0.8900,tp,215,disc,16.50
14,pf0-short,HYPEUSDT,short,2025-10-12T01:00:00Z,2025-10-12T01:15:00Z,36.455000,37.184100,3000.00,-63.30,-2.1100,stop,15,disc,3.30
15,pf0-short,HYPEUSDT,short,2025-10-13T17:00:00Z,2025-10-13T17:15:00Z,40.445000,40.040550,3000.00,26.70,0.8900,tp,15,disc,3.30
16,ladder,HYPEUSDT,long,2025-10-20T08:00:00Z,2025-10-20T08:30:00Z,38.342000,38.878788,800.00,10.31,1.2886,tp,30,disc,0.89
17,ladder,HYPEUSDT,long,2025-10-20T08:35:00Z,2025-10-20T12:55:00Z,38.356203,38.893190,25720.33,330.94,1.2867,tp,260,disc,28.49
18,ladder,HYPEUSDT,long,2025-10-20T13:00:00Z,2025-10-20T15:10:00Z,38.969296,39.514866,5953.28,76.67,1.2878,tp,130,disc,6.59
19,ladder,HYPEUSDT,long,2025-10-20T15:15:00Z,2025-10-21T15:10:00Z,38.082616,38.196864,25720.33,41.89,0.1629,stale,1435,disc,28.33
20,wed-short,HYPEUSDT,short,2025-10-22T19:00:00Z,2025-10-22T19:50:00Z,36.288000,35.925120,15000.00,133.50,0.8900,tp,50,disc,16.50
21,ladder,HYPEUSDT,long,2025-10-23T04:00:00Z,2025-10-23T05:50:00Z,37.475696,38.000355,7943.94,102.33,1.2881,tp,110,disc,8.80
22,ladder,HYPEUSDT,long,2025-10-23T06:05:00Z,2025-10-23T06:30:00Z,38.243000,38.778402,800.00,10.31,1.2887,tp,25,disc,0.89
23,pf0-short,HYPEUSDT,short,2025-10-23T10:00:00Z,2025-10-23T11:45:00Z,39.148000,38.756520,3000.00,26.70,0.8900,tp,105,disc,3.30
24,ladder,HYPEUSDT,long,2025-10-23T06:35:00Z,2025-10-23T12:30:00Z,39.017198,39.563439,25720.33,330.62,1.2855,tp,355,disc,28.49
25,ladder,HYPEUSDT,long,2025-10-23T12:35:00Z,2025-10-23T12:45:00Z,39.294000,39.844116,800.00,10.31,1.2890,tp,10,disc,0.89
26,ladder,HYPEUSDT,long,2025-10-23T13:05:00Z,2025-10-23T13:35:00Z,39.868000,40.426152,800.00,10.31,1.2886,tp,30,disc,0.89
27,ladder,HYPEUSDT,long,2025-10-23T13:40:00Z,2025-10-23T14:35:00Z,40.126014,40.687779,2912.00,37.52,1.2884,tp,55,disc,3.23
28,ladder,HYPEUSDT,long,2025-10-23T14:40:00Z,2025-10-23T23:25:00Z,39.635133,40.190025,25720.33,329.51,1.2811,tp,525,disc,28.49
29,ladder,HYPEUSDT,long,2025-10-23T23:30:00Z,2025-10-24T04:45:00Z,39.736654,40.292967,25720.33,330.76,1.2860,tp,315,disc,28.49
30,ladder,HYPEUSDT,long,2025-10-24T04:50:00Z,2025-10-25T11:40:00Z,40.407915,40.973626,25720.33,322.51,1.2539,tp,1850,disc,28.49
31,ladder,HYPEUSDT,long,2025-10-25T11:45:00Z,2025-10-25T17:45:00Z,41.085609,41.660807,25720.33,330.50,1.2850,tp,360,disc,28.49
32,ladder,HYPEUSDT,long,2025-10-25T17:50:00Z,2025-10-25T18:05:00Z,41.864000,42.450096,800.00,10.31,1.2889,tp,15,disc,0.89
33,ladder,HYPEUSDT,long,2025-10-25T18:20:00Z,2025-10-25T21:55:00Z,43.078007,43.681099,13199.27,169.93,1.2874,tp,215,disc,14.62
34,ladder,HYPEUSDT,long,2025-10-25T22:10:00Z,2025-10-25T22:40:00Z,43.877209,44.491490,1760.00,22.68,1.2887,tp,30,disc,1.95
35,ladder,HYPEUSDT,long,2025-10-25T22:50:00Z,2025-10-26T00:30:00Z,44.093448,44.710757,5953.28,76.69,1.2881,tp,100,disc,6.59
