trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,dr0-long,SUIUSDT,long,2024-12-08T10:00:00Z,2024-12-08T23:00:00Z,4.180000,4.215600,10000.00,74.17,0.7417,flat,780,disc,11.00
2,dr0-long,SUIUSDT,long,2024-12-08T16:00:00Z,2024-12-08T23:52:00Z,4.167100,4.250442,10000.00,189.00,1.8900,tp,472,disc,11.00
3,dr0-long,SUIUSDT,long,2024-12-08T22:00:00Z,2024-12-09T07:12:00Z,4.220600,4.093982,10000.00,-311.00,-3.1100,stop,552,disc,11.00
4,dr0-long,SUIUSDT,long,2024-12-09T04:00:00Z,2024-12-09T07:14:00Z,4.210900,4.084573,10000.00,-311.00,-3.1100,stop,194,disc,11.00
5,dr0-long,SUIUSDT,long,2024-12-12T16:00:00Z,2024-12-13T05:00:00Z,4.646300,4.631800,10000.00,-42.21,-0.4221,flat,780,disc,11.00
6,dr0-long,SUIUSDT,long,2024-12-12T23:00:00Z,2024-12-13T00:40:00Z,4.619400,4.711788,10000.00,189.00,1.8900,tp,100,disc,11.00
7,dr0-long,SUIUSDT,long,2024-12-13T05:00:00Z,2024-12-13T08:50:00Z,4.636800,4.729536,10000.00,189.00,1.8900,tp,230,disc,11.00
8,dr0-long,SUIUSDT,long,2024-12-13T11:00:00Z,2024-12-13T14:55:00Z,4.762200,4.857444,10000.00,189.00,1.8900,tp,235,disc,11.00
9,dr0-long,SUIUSDT,long,2024-12-13T20:00:00Z,2024-12-14T09:00:00Z,4.785000,4.717000,10000.00,-153.11,-1.5311,flat,780,disc,11.00
10,dr0-long,SUIUSDT,long,2024-12-14T02:00:00Z,2024-12-14T12:31:00Z,4.757000,4.614290,10000.00,-311.00,-3.1100,stop,631,disc,11.00
11,dr0-long,SUIUSDT,long,2024-12-14T15:00:00Z,2024-12-14T18:39:00Z,4.568400,4.431348,10000.00,-311.00,-3.1100,stop,219,disc,11.00
12,dr0-long,SUIUSDT,long,2024-12-14T21:00:00Z,2024-12-15T10:00:00Z,4.435100,4.433100,10000.00,-15.51,-0.1551,flat,780,disc,11.00
13,dr0-long,SUIUSDT,long,2024-12-15T03:00:00Z,2024-12-15T12:52:00Z,4.427000,4.515540,10000.00,189.00,1.8900,tp,592,disc,11.00
14,dr0-long,SUIUSDT,long,2024-12-15T09:00:00Z,2024-12-15T12:52:00Z,4.432800,4.521456,10000.00,189.00,1.8900,tp,232,disc,11.00
15,dr0-long,SUIUSDT,long,2024-12-15T15:00:00Z,2024-12-15T19:22:00Z,4.598800,4.690776,10000.00,189.00,1.8900,tp,262,disc,11.00
16,dr0-long,SUIUSDT,long,2024-12-16T01:00:00Z,2024-12-16T11:29:00Z,4.846300,4.700911,10000.00,-311.00,-3.1100,stop,629,disc,11.00
17,dr0-long,SUIUSDT,long,2024-12-16T07:00:00Z,2024-12-16T11:36:00Z,4.806100,4.661917,10000.00,-311.00,-3.1100,stop,276,disc,11.00
18,dr0-long,SUIUSDT,long,2024-12-16T13:00:00Z,2024-12-16T23:23:00Z,4.763000,4.620110,10000.00,-311.00,-3.1100,stop,623,disc,11.00
19,dr0-long,SUIUSDT,long,2024-12-16T19:00:00Z,2024-12-17T08:00:00Z,4.698100,4.753400,10000.00,106.71,1.0671,flat,780,disc,11.00
