trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,dr0-long,SUIUSDT,long,2024-12-10T00:00:00Z,2024-12-10T03:08:00Z,3.800700,3.648672,10000.00,-411.00,-4.1100,stop,188,disc,11.00
2,dr0-long,SUIUSDT,long,2024-12-10T20:00:00Z,2024-12-10T21:10:00Z,3.652900,3.725958,10000.00,189.00,1.8900,tp,70,disc,11.00
3,dr0-long,SUIUSDT,long,2024-12-12T18:00:00Z,2024-12-13T07:00:00Z,4.654200,4.556100,10000.00,-221.78,-2.2178,flat,780,disc,11.00
4,dr0-long,SUIUSDT,long,2024-12-20T14:00:00Z,2024-12-20T15:16:00Z,4.153600,4.236672,10000.00,189.00,1.8900,tp,76,disc,11.00
5,dr0-long,SUIUSDT,long,2024-12-21T22:00:00Z,2024-12-22T00:38:00Z,4.359600,4.446792,10000.00,189.00,1.8900,tp,158,disc,11.00
6,dr0-long,SUIUSDT,long,2024-12-23T17:00:00Z,2024-12-23T19:15:00Z,4.296300,4.382226,10000.00,189.00,1.8900,tp,135,disc,11.00
7,dr0-long,SUIUSDT,long,2025-01-17T20:00:00Z,2025-01-18T05:10:00Z,4.931200,4.733952,10000.00,-411.00,-4.1100,stop,550,disc,11.00
8,dr0-long,SUIUSDT,long,2025-01-18T08:00:00Z,2025-01-18T15:26:00Z,4.697500,4.791450,10000.00,189.00,1.8900,tp,446,disc,11.00
9,dr0-long,SUIUSDT,long,2025-01-19T14:00:00Z,2025-01-19T19:10:00Z,4.903400,5.001468,10000.00,189.00,1.8900,tp,310,disc,11.00
10,dr0-long,SUIUSDT,long,2025-01-20T03:00:00Z,2025-01-20T06:42:00Z,4.503200,4.593264,10000.00,189.00,1.8900,tp,222,disc,11.00
11,dr0-long,SUIUSDT,long,2025-01-20T15:00:00Z,2025-01-20T17:39:00Z,4.571900,4.389024,10000.00,-411.00,-4.1100,stop,159,disc,11.00
12,dr0-long,SUIUSDT,long,2025-01-20T20:00:00Z,2025-01-21T01:31:00Z,4.424200,4.247232,10000.00,-411.00,-4.1100,stop,331,disc,11.00
13,dr0-long,SUIUSDT,long,2025-01-24T00:00:00Z,2025-01-24T04:37:00Z,4.216500,4.300830,10000.00,189.00,1.8900,tp,277,disc,11.00
14,dr0-long,SUIUSDT,long,2025-02-03T11:00:00Z,2025-02-03T12:20:00Z,3.147700,3.210654,10000.00,189.00,1.8900,tp,80,disc,11.00
15,dr0-long,SUIUSDT,long,2025-02-04T10:00:00Z,2025-02-04T11:08:00Z,3.390200,3.458004,10000.00,189.00,1.8900,tp,68,disc,11.00
16,dr0-long,SUIUSDT,long,2025-02-05T00:00:00Z,2025-02-05T01:11:00Z,3.638400,3.711168,10000.00,189.00,1.8900,tp,71,disc,11.00
17,dr0-long,SUIUSDT,long,2025-02-09T16:00:00Z,2025-02-09T21:37:00Z,3.092700,2.968992,10000.00,-411.00,-4.1100,stop,337,disc,11.00
18,dr0-long,SUIUSDT,long,2025-02-10T00:00:00Z,2025-02-10T01:43:00Z,3.078400,2.955264,10000.00,-411.00,-4.1100,stop,103,disc,11.00
19,dr0-long,SUIUSDT,long,2025-02-21T22:00:00Z,2025-02-22T01:06:00Z,3.278200,3.343764,10000.00,189.00,1.8900,tp,186,disc,11.00
20,dr0-long,SUIUSDT,long,2025-02-25T17:00:00Z,2025-02-25T19:56:00Z,2.820800,2.877216,10000.00,189.00,1.8900,tp,176,disc,11.00
21,dr0-long,SUIUSDT,long,2025-02-26T21:00:00Z,2025-02-26T22:06:00Z,2.891500,2.949330,10000.00,189.00,1.8900,tp,66,disc,11.00
22,dr0-long,SUIUSDT,long,2025-03-04T00:00:00Z,2025-03-04T01:40:00Z,2.599600,2.495616,10000.00,-411.00,-4.1100,stop,100,disc,11.00
