trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,dr0-long,SUIUSDT,long,2024-12-08T10:00:00Z,2024-12-08T23:00:00Z,4.180000,4.215600,10000.00,74.17,0.7417,flat,780,disc,11.00
2,dr0-long,SUIUSDT,long,2024-12-17T01:00:00Z,2024-12-17T05:31:00Z,4.619200,4.711584,10000.00,189.00,1.8900,tp,271,disc,11.00
3,dr0-long,SUIUSDT,long,2024-12-21T20:00:00Z,2024-12-22T00:38:00Z,4.368500,4.455870,10000.00,189.00,1.8900,tp,278,disc,11.00
4,dr0-long,SUIUSDT,long,2024-12-25T13:00:00Z,2024-12-25T19:49:00Z,4.492400,4.582248,10000.00,189.00,1.8900,tp,409,disc,11.00
5,dr0-long,SUIUSDT,long,2025-01-03T08:00:00Z,2025-01-03T12:12:00Z,4.286200,4.371924,10000.00,189.00,1.8900,tp,252,disc,11.00
6,dr0-long,SUIUSDT,long,2025-01-06T10:00:00Z,2025-01-06T14:52:00Z,5.164900,5.268198,10000.00,189.00,1.8900,tp,292,disc,11.00
7,dr0-long,SUIUSDT,long,2025-01-07T00:00:00Z,2025-01-07T13:00:00Z,5.074400,5.089900,10000.00,19.55,0.1955,flat,780,disc,11.00
8,dr0-long,SUIUSDT,long,2025-01-07T16:00:00Z,2025-01-07T23:11:00Z,4.905200,4.758044,10000.00,-311.00,-3.1100,stop,431,disc,11.00
9,dr0-long,SUIUSDT,long,2025-01-11T19:00:00Z,2025-01-11T20:51:00Z,4.916600,5.014932,10000.00,189.00,1.8900,tp,111,disc,11.00
10,dr0-long,SUIUSDT,long,2025-01-19T12:00:00Z,2025-01-19T13:10:00Z,4.783000,4.878660,10000.00,189.00,1.8900,tp,70,disc,11.00
11,dr0-long,SUIUSDT,long,2025-02-11T20:00:00Z,2025-02-11T21:38:00Z,3.276200,3.341724,10000.00,189.00,1.8900,tp,98,disc,11.00
12,dr0-long,SUIUSDT,long,2025-02-12T15:00:00Z,2025-02-12T16:54:00Z,3.212500,3.276750,10000.00,189.00,1.8900,tp,114,disc,11.00
