trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,dr0-long,SUIUSDT,long,2024-12-08T10:00:00Z,2024-12-08T23:00:00Z,4.180000,4.215600,10000.00,74.17,0.7417,flat,780,disc,11.00
2,dr0-long,SUIUSDT,long,2024-12-08T20:00:00Z,2024-12-08T23:50:00Z,4.184700,4.247470,10000.00,139.00,1.3900,tp,230,disc,11.00
3,dr0-long,SUIUSDT,long,2024-12-12T23:00:00Z,2024-12-13T00:35:00Z,4.619400,4.688691,10000.00,139.00,1.3900,tp,95,disc,11.00
4,dr0-long,SUIUSDT,long,2024-12-13T08:00:00Z,2024-12-13T11:20:00Z,4.712200,4.782883,10000.00,139.00,1.3900,tp,200,disc,11.00
5,dr0-long,SUIUSDT,long,2024-12-14T20:00:00Z,2024-12-14T22:44:00Z,4.400800,4.466812,10000.00,139.00,1.3900,tp,164,disc,11.00
6,dr0-long,SUIUSDT,long,2024-12-15T08:00:00Z,2024-12-15T12:45:00Z,4.437600,4.504164,10000.00,139.00,1.3900,tp,285,disc,11.00
7,dr0-long,SUIUSDT,long,2024-12-16T12:00:00Z,2024-12-16T13:23:00Z,4.640300,4.709904,10000.00,139.00,1.3900,tp,83,disc,11.00
8,dr0-long,SUIUSDT,long,2024-12-17T01:00:00Z,2024-12-17T05:04:00Z,4.619200,4.688488,10000.00,139.00,1.3900,tp,244,disc,11.00
9,dr0-long,SUIUSDT,long,2024-12-21T20:00:00Z,2024-12-22T00:29:00Z,4.368500,4.434028,10000.00,139.00,1.3900,tp,269,disc,11.00
10,dr0-long,SUIUSDT,long,2024-12-24T11:00:00Z,2024-12-24T13:38:00Z,4.551500,4.619772,10000.00,139.00,1.3900,tp,158,disc,11.00
11,dr0-long,SUIUSDT,long,2024-12-25T13:00:00Z,2024-12-25T19:45:00Z,4.492400,4.559786,10000.00,139.00,1.3900,tp,405,disc,11.00
12,dr0-long,SUIUSDT,long,2025-01-07T00:00:00Z,2025-01-07T11:08:00Z,5.074400,5.150516,10000.00,139.00,1.3900,tp,668,disc,11.00
13,dr0-long,SUIUSDT,long,2025-01-07T16:00:00Z,2025-01-07T23:11:00Z,4.905200,4.758044,10000.00,-311.00,-3.1100,stop,431,disc,11.00
14,dr0-long,SUIUSDT,long,2025-01-10T14:00:00Z,2025-01-10T17:43:00Z,4.964800,5.039272,10000.00,139.00,1.3900,tp,223,disc,11.00
15,dr0-long,SUIUSDT,long,2025-01-11T09:00:00Z,2025-01-11T21:19:00Z,4.988800,5.063632,10000.00,139.00,1.3900,tp,739,disc,11.00
16,dr0-long,SUIUSDT,long,2025-01-11T19:00:00Z,2025-01-11T20:45:00Z,4.916600,4.990349,10000.00,139.00,1.3900,tp,105,disc,11.00
17,dr0-long,SUIUSDT,long,2025-01-17T01:00:00Z,2025-01-17T02:13:00Z,4.836300,4.908844,10000.00,139.00,1.3900,tp,73,disc,11.00
18,dr0-long,SUIUSDT,long,2025-01-17T09:00:00Z,2025-01-17T10:52:00Z,4.801200,4.873218,10000.00,139.00,1.3900,tp,112,disc,11.00
19,dr0-long,SUIUSDT,long,2025-01-17T19:00:00Z,2025-01-17T20:30:00Z,4.807700,4.879815,10000.00,139.00,1.3900,tp,90,disc,11.00
20,dr0-long,SUIUSDT,long,2025-01-18T11:00:00Z,2025-01-18T15:22:00Z,4.686300,4.756594,10000.00,139.00,1.3900,tp,262,disc,11.00
21,dr0-long,SUIUSDT,long,2025-01-19T12:00:00Z,2025-01-19T13:09:00Z,4.783000,4.854745,10000.00,139.00,1.3900,tp,69,disc,11.00
22,dr0-long,SUIUSDT,long,2025-01-31T21:00:00Z,2025-02-01T09:42:00Z,4.088000,3.965360,10000.00,-311.00,-3.1100,stop,762,disc,11.00
