trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,dr0-long,SUIUSDT,long,2024-12-08T10:00:00Z,2024-12-08T23:00:00Z,4.180000,4.215600,10000.00,74.17,0.7417,flat,780,disc,11.00
2,dr0-long,SUIUSDT,long,2024-12-08T20:00:00Z,2024-12-09T02:11:00Z,4.184700,4.268394,10000.00,189.00,1.8900,tp,371,disc,11.00
3,dr0-long,SUIUSDT,long,2024-12-12T23:00:00Z,2024-12-13T00:40:00Z,4.619400,4.711788,10000.00,189.00,1.8900,tp,100,disc,11.00
4,dr0-long,SUIUSDT,long,2024-12-13T08:00:00Z,2024-12-13T13:45:00Z,4.712200,4.806444,10000.00,189.00,1.8900,tp,345,disc,11.00
5,dr0-long,SUIUSDT,long,2024-12-14T20:00:00Z,2024-12-14T23:13:00Z,4.400800,4.488816,10000.00,189.00,1.8900,tp,193,disc,11.00
6,dr0-long,SUIUSDT,long,2024-12-15T08:00:00Z,2024-12-15T12:53:00Z,4.437600,4.526352,10000.00,189.00,1.8900,tp,293,disc,11.00
7,dr0-long,SUIUSDT,long,2024-12-16T12:00:00Z,2024-12-16T13:23:00Z,4.640300,4.733106,10000.00,189.00,1.8900,tp,83,disc,11.00
8,dr0-long,SUIUSDT,long,2024-12-17T01:00:00Z,2024-12-17T05:31:00Z,4.619200,4.711584,10000.00,189.00,1.8900,tp,271,disc,11.00
9,dr0-long,SUIUSDT,long,2024-12-21T20:00:00Z,2024-12-22T00:38:00Z,4.368500,4.455870,10000.00,189.00,1.8900,tp,278,disc,11.00
10,dr0-long,SUIUSDT,long,2024-12-24T11:00:00Z,2024-12-24T13:52:00Z,4.551500,4.642530,10000.00,189.00,1.8900,tp,172,disc,11.00
11,dr0-long,SUIUSDT,long,2024-12-25T13:00:00Z,2024-12-25T19:49:00Z,4.492400,4.582248,10000.00,189.00,1.8900,tp,409,disc,11.00
12,dr0-long,SUIUSDT,long,2025-01-07T00:00:00Z,2025-01-07T13:00:00Z,5.074400,5.089900,10000.00,19.55,0.1955,flat,780,disc,11.00
13,dr0-long,SUIUSDT,long,2025-01-07T16:00:00Z,2025-01-07T23:11:00Z,4.905200,4.758044,10000.00,-311.00,-3.1100,stop,431,disc,11.00
14,dr0-long,SUIUSDT,long,2025-01-10T14:00:00Z,2025-01-10T17:49:00Z,4.964800,5.064096,10000.00,189.00,1.8900,tp,229,disc,11.00
15,dr0-long,SUIUSDT,long,2025-01-11T09:00:00Z,2025-01-11T22:00:00Z,4.988800,5.021700,10000.00,54.95,0.5495,flat,780,disc,11.00
16,dr0-long,SUIUSDT,long,2025-01-11T19:00:00Z,2025-01-11T20:51:00Z,4.916600,5.014932,10000.00,189.00,1.8900,tp,111,disc,11.00
17,dr0-long,SUIUSDT,long,2025-01-17T01:00:00Z,2025-01-17T02:24:00Z,4.836300,4.933026,10000.00,189.00,1.8900,tp,84,disc,11.00
18,dr0-long,SUIUSDT,long,2025-01-17T09:00:00Z,2025-01-17T10:53:00Z,4.801200,4.897224,10000.00,189.00,1.8900,tp,113,disc,11.00
19,dr0-long,SUIUSDT,long,2025-01-17T19:00:00Z,2025-01-17T20:46:00Z,4.807700,4.903854,10000.00,189.00,1.8900,tp,106,disc,11.00
20,dr0-long,SUIUSDT,long,2025-01-18T11:00:00Z,2025-01-18T15:26:00Z,4.686300,4.780026,10000.00,189.00,1.8900,tp,266,disc,11.00
21,dr0-long,SUIUSDT,long,2025-01-19T12:00:00Z,2025-01-19T13:10:00Z,4.783000,4.878660,10000.00,189.00,1.8900,tp,70,disc,11.00
22,dr0-long,SUIUSDT,long,2025-01-31T21:00:00Z,2025-02-01T09:42:00Z,4.088000,3.965360,10000.00,-311.00,-3.1100,stop,762,disc,11.00
23,dr0-long,SUIUSDT,long,2025-02-11T20:00:00Z,2025-02-11T21:38:00Z,3.276200,3.341724,10000.00,189.00,1.8900,tp,98,disc,11.00
24,dr0-long,SUIUSDT,long,2025-02-12T05:00:00Z,2025-02-12T13:26:00Z,3.274100,3.339582,10000.00,189.00,1.8900,tp,506,disc,11.00
25,dr0-long,SUIUSDT,long,2025-02-12T15:00:00Z,2025-02-12T16:54:00Z,3.212500,3.276750,10000.00,189.00,1.8900,tp,114,disc,11.00
26,dr0-long,SUIUSDT,long,2025-02-13T15:00:00Z,2025-02-14T04:00:00Z,3.512700,3.531200,10000.00,41.67,0.4167,flat,780,disc,11.00
27,dr0-long,SUIUSDT,long,2025-02-14T02:00:00Z,2025-02-14T03:49:00Z,3.463700,3.532974,10000.00,189.00,1.8900,tp,109,disc,11.00
28,dr0-long,SUIUSDT,long,2025-02-15T07:00:00Z,2025-02-15T20:00:00Z,3.466900,3.398000,10000.00,-209.74,-2.0974,flat,780,disc,11.00
29,dr0-long,SUIUSDT,long,2025-02-21T20:00:00Z,2025-02-22T01:03:00Z,3.261000,3.326220,10000.00,189.00,1.8900,tp,303,disc,11.00
30,dr0-long,SUIUSDT,long,2025-02-23T16:00:00Z,2025-02-23T23:01:00Z,3.298200,3.364164,10000.00,189.00,1.8900,tp,421,disc,11.00
31,dr0-long,SUIUSDT,long,2025-03-07T01:00:00Z,2025-03-07T02:23:00Z,2.696700,2.750634,10000.00,189.00,1.8900,tp,83,disc,11.00
32,dr0-long,SUIUSDT,long,2025-03-15T12:00:00Z,2025-03-15T15:56:00Z,2.324400,2.370888,10000.00,189.00,1.8900,tp,236,disc,11.00
33,dr0-long,SUIUSDT,long,2025-03-16T15:00:00Z,2025-03-16T16:09:00Z,2.237700,2.282454,10000.00,189.00,1.8900,tp,69,disc,11.00
34,dr0-long,SUIUSDT,long,2025-03-20T17:00:00Z,2025-03-21T03:52:00Z,2.386100,2.314517,10000.00,-311.00,-3.1100,stop,652,disc,11.00
35,dr0-long,SUIUSDT,long,2025-03-26T20:00:00Z,2025-03-27T00:36:00Z,2.609000,2.661180,10000.00,189.00,1.8900,tp,276,disc,11.00
36,dr0-long,SUIUSDT,long,2025-03-27T14:00:00Z,2025-03-27T21:33:00Z,2.755500,2.810610,10000.00,189.00,1.8900,tp,453,disc,11.00
37,dr0-long,SUIUSDT,long,2025-04-03T00:00:00Z,2025-04-03T02:47:00Z,2.378900,2.426478,10000.00,189.00,1.8900,tp,167,disc,11.00
38,dr0-long,SUIUSDT,long,2025-04-10T05:00:00Z,2025-04-10T12:29:00Z,2.135200,2.177904,10000.00,189.00,1.8900,tp,449,disc,11.00
39,dr0-long,SUIUSDT,long,2025-04-10T16:00:00Z,2025-04-10T20:53:00Z,2.082300,2.123946,10000.00,189.00,1.8900,tp,293,disc,11.00
40,dr0-long,SUIUSDT,long,2025-04-13T22:00:00Z,2025-04-14T00:16:00Z,2.209900,2.254098,10000.00,189.00,1.8900,tp,136,disc,11.00
41,dr0-long,SUIUSDT,long,2025-04-14T08:00:00Z,2025-04-14T10:44:00Z,2.281300,2.326926,10000.00,189.00,1.8900,tp,164,disc,11.00
42,dr0-long,SUIUSDT,long,2025-04-15T03:00:00Z,2025-04-15T14:01:00Z,2.199100,2.243082,10000.00,189.00,1.8900,tp,661,disc,11.00
43,dr0-long,SUIUSDT,long,2025-04-21T18:00:00Z,2025-04-21T21:55:00Z,2.164900,2.208198,10000.00,189.00,1.8900,tp,235,disc,11.00
