trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-06T10:00:00Z,2024-12-06T23:00:00Z,4.173500,4.224900,10000.00,-134.16,-1.3416,flat,780,disc,11.00
2,pf0-short,SUIUSDT,short,2024-12-09T19:00:00Z,2024-12-09T20:27:00Z,4.035100,3.934222,10000.00,239.00,2.3900,tp,87,disc,11.00
3,pf0-short,SUIUSDT,short,2024-12-10T02:00:00Z,2024-12-10T03:12:00Z,3.686900,3.594727,10000.00,239.00,2.3900,tp,72,disc,11.00
4,pf0-short,SUIUSDT,short,2024-12-16T03:00:00Z,2024-12-16T11:58:00Z,4.755500,4.636612,10000.00,239.00,2.3900,tp,538,disc,11.00
5,pf0-short,SUIUSDT,short,2024-12-19T06:00:00Z,2024-12-19T11:15:00Z,4.374200,4.505426,10000.00,-311.00,-3.1100,stop,315,disc,11.00
6,pf0-short,SUIUSDT,short,2024-12-19T14:00:00Z,2024-12-19T16:07:00Z,4.426900,4.316228,10000.00,239.00,2.3900,tp,127,disc,11.00
7,pf0-short,SUIUSDT,short,2024-12-24T16:00:00Z,2024-12-24T18:15:00Z,4.571800,4.708954,10000.00,-311.00,-3.1100,stop,135,disc,11.00
8,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T14:33:00Z,4.330200,4.221945,10000.00,239.00,2.3900,tp,153,disc,11.00
9,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-28T01:24:00Z,4.152400,4.048590,10000.00,239.00,2.3900,tp,324,disc,11.00
10,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2024-12-31T23:04:00Z,4.234500,4.128637,10000.00,239.00,2.3900,tp,724,disc,11.00
11,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T01:45:00Z,4.672100,4.812263,10000.00,-311.00,-3.1100,stop,405,disc,11.00
12,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-14T14:38:00Z,4.552200,4.688766,10000.00,-311.00,-3.1100,stop,158,disc,11.00
13,pf0-short,SUIUSDT,short,2025-01-17T23:00:00Z,2025-01-18T05:12:00Z,4.838800,4.717830,10000.00,239.00,2.3900,tp,372,disc,11.00
14,pf0-short,SUIUSDT,short,2025-01-21T01:00:00Z,2025-01-21T10:50:00Z,4.311700,4.441051,10000.00,-311.00,-3.1100,stop,590,disc,11.00
15,pf0-short,SUIUSDT,short,2025-02-02T22:00:00Z,2025-02-02T23:08:00Z,3.278000,3.196050,10000.00,239.00,2.3900,tp,68,disc,11.00
16,pf0-short,SUIUSDT,short,2025-02-03T10:00:00Z,2025-02-03T12:57:00Z,3.192800,3.112980,10000.00,239.00,2.3900,tp,177,disc,11.00
17,pf0-short,SUIUSDT,short,2025-02-06T09:00:00Z,2025-02-06T12:34:00Z,3.459900,3.373403,10000.00,239.00,2.3900,tp,214,disc,11.00
18,pf0-short,SUIUSDT,short,2025-02-06T23:00:00Z,2025-02-07T01:52:00Z,3.133900,3.227917,10000.00,-311.00,-3.1100,stop,172,disc,11.00
19,pf0-short,SUIUSDT,short,2025-02-07T04:00:00Z,2025-02-07T06:28:00Z,3.186700,3.107032,10000.00,239.00,2.3900,tp,148,disc,11.00
20,pf0-short,SUIUSDT,short,2025-02-09T06:00:00Z,2025-02-09T13:48:00Z,3.091800,3.014505,10000.00,239.00,2.3900,tp,468,disc,11.00
21,pf0-short,SUIUSDT,short,2025-02-09T23:00:00Z,2025-02-10T00:17:00Z,2.993400,3.083202,10000.00,-311.00,-3.1100,stop,77,disc,11.00
22,pf0-short,SUIUSDT,short,2025-02-13T18:00:00Z,2025-02-14T07:00:00Z,3.490400,3.485300,10000.00,3.61,0.0361,flat,780,disc,11.00
23,pf0-short,SUIUSDT,short,2025-02-14T06:00:00Z,2025-02-14T09:22:00Z,3.482800,3.587284,10000.00,-311.00,-3.1100,stop,202,disc,11.00
24,pf0-short,SUIUSDT,short,2025-02-21T07:00:00Z,2025-02-21T15:33:00Z,3.491900,3.404602,10000.00,239.00,2.3900,tp,513,disc,11.00
25,pf0-short,SUIUSDT,short,2025-02-24T08:00:00Z,2025-02-24T14:08:00Z,3.254200,3.172845,10000.00,239.00,2.3900,tp,368,disc,11.00
26,pf0-short,SUIUSDT,short,2025-02-25T03:00:00Z,2025-02-25T07:01:00Z,2.825400,2.754765,10000.00,239.00,2.3900,tp,241,disc,11.00
27,pf0-short,SUIUSDT,short,2025-02-25T08:00:00Z,2025-02-25T09:23:00Z,2.782600,2.713035,10000.00,239.00,2.3900,tp,83,disc,11.00
28,pf0-short,SUIUSDT,short,2025-03-04T01:00:00Z,2025-03-04T02:06:00Z,2.514100,2.451248,10000.00,239.00,2.3900,tp,66,disc,11.00
29,pf0-short,SUIUSDT,short,2025-03-06T18:00:00Z,2025-03-06T23:11:00Z,2.806000,2.735850,10000.00,239.00,2.3900,tp,311,disc,11.00
30,pf0-short,SUIUSDT,short,2025-03-07T08:00:00Z,2025-03-07T12:44:00Z,2.796900,2.726977,10000.00,239.00,2.3900,tp,284,disc,11.00
31,pf0-short,SUIUSDT,short,2025-03-07T21:00:00Z,2025-03-07T23:37:00Z,2.633400,2.567565,10000.00,239.00,2.3900,tp,157,disc,11.00
32,pf0-short,SUIUSDT,short,2025-03-10T12:00:00Z,2025-03-10T13:54:00Z,2.376000,2.316600,10000.00,239.00,2.3900,tp,114,disc,11.00
33,pf0-short,SUIUSDT,short,2025-03-10T14:00:00Z,2025-03-10T16:52:00Z,2.228900,2.173177,10000.00,239.00,2.3900,tp,172,disc,11.00
34,pf0-short,SUIUSDT,short,2025-03-10T22:00:00Z,2025-03-11T00:29:00Z,2.098000,2.045550,10000.00,239.00,2.3900,tp,149,disc,11.00
35,pf0-short,SUIUSDT,short,2025-03-12T15:00:00Z,2025-03-13T02:06:00Z,2.229900,2.296797,10000.00,-311.00,-3.1100,stop,666,disc,11.00
36,pf0-short,SUIUSDT,short,2025-03-14T01:00:00Z,2025-03-14T12:20:00Z,2.183200,2.248696,10000.00,-311.00,-3.1100,stop,680,disc,11.00
37,pf0-short,SUIUSDT,short,2025-03-20T11:00:00Z,2025-03-20T16:17:00Z,2.437400,2.376465,10000.00,239.00,2.3900,tp,317,disc,11.00
38,pf0-short,SUIUSDT,short,2025-03-29T16:00:00Z,2025-03-29T17:21:00Z,2.306100,2.248447,10000.00,239.00,2.3900,tp,81,disc,11.00
39,pf0-short,SUIUSDT,short,2025-04-01T18:00:00Z,2025-04-02T01:11:00Z,2.429300,2.368568,10000.00,239.00,2.3900,tp,431,disc,11.00
40,pf0-short,SUIUSDT,short,2025-04-03T16:00:00Z,2025-04-04T03:31:00Z,2.220700,2.165182,10000.00,239.00,2.3900,tp,691,disc,11.00
41,pf0-short,SUIUSDT,short,2025-04-04T20:00:00Z,2025-04-05T00:26:00Z,2.292800,2.235480,10000.00,239.00,2.3900,tp,266,disc,11.00
42,pf0-short,SUIUSDT,short,2025-04-08T14:00:00Z,2025-04-08T17:03:00Z,2.009700,1.959458,10000.00,239.00,2.3900,tp,183,disc,11.00
43,pf0-short,SUIUSDT,short,2025-04-12T17:00:00Z,2025-04-12T19:38:00Z,2.287600,2.356228,10000.00,-311.00,-3.1100,stop,158,disc,11.00
