trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-06T10:00:00Z,2024-12-06T12:47:00Z,4.173500,4.110898,5000.00,69.50,1.3900,tp,167,disc,5.50
2,pf0-short,SUIUSDT,short,2024-12-09T19:00:00Z,2024-12-09T20:23:00Z,4.035100,3.974573,5000.00,69.50,1.3900,tp,83,disc,5.50
3,pf0-short,SUIUSDT,short,2024-12-10T02:00:00Z,2024-12-10T03:09:00Z,3.686900,3.631597,5000.00,69.50,1.3900,tp,69,disc,5.50
4,pf0-short,SUIUSDT,short,2024-12-12T05:00:00Z,2024-12-12T09:40:00Z,4.796500,4.724552,5000.00,69.50,1.3900,tp,280,disc,5.50
5,pf0-short,SUIUSDT,short,2024-12-16T03:00:00Z,2024-12-16T11:33:00Z,4.755500,4.684167,5000.00,69.50,1.3900,tp,513,disc,5.50
6,pf0-short,SUIUSDT,short,2024-12-19T06:00:00Z,2024-12-19T11:15:00Z,4.374200,4.505426,5000.00,-155.50,-3.1100,stop,315,disc,5.50
7,pf0-short,SUIUSDT,short,2024-12-19T14:00:00Z,2024-12-19T15:15:00Z,4.426900,4.360496,5000.00,69.50,1.3900,tp,75,disc,5.50
8,pf0-short,SUIUSDT,short,2024-12-20T19:00:00Z,2024-12-20T21:13:00Z,4.501600,4.434076,5000.00,69.50,1.3900,tp,133,disc,5.50
9,pf0-short,SUIUSDT,short,2024-12-24T16:00:00Z,2024-12-24T18:15:00Z,4.571800,4.708954,5000.00,-155.50,-3.1100,stop,135,disc,5.50
10,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T13:38:00Z,4.330200,4.265247,5000.00,69.50,1.3900,tp,98,disc,5.50
11,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-27T22:01:00Z,4.152400,4.090114,5000.00,69.50,1.3900,tp,121,disc,5.50
12,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2024-12-31T17:39:00Z,4.234500,4.170983,5000.00,69.50,1.3900,tp,399,disc,5.50
13,pf0-short,SUIUSDT,short,2025-01-09T01:00:00Z,2025-01-09T03:08:00Z,4.836200,4.763657,5000.00,69.50,1.3900,tp,128,disc,5.50
14,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T01:45:00Z,4.672100,4.812263,5000.00,-155.50,-3.1100,stop,405,disc,5.50
15,pf0-short,SUIUSDT,short,2025-01-14T01:00:00Z,2025-01-14T05:50:00Z,4.661800,4.591873,5000.00,69.50,1.3900,tp,290,disc,5.50
16,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-14T14:38:00Z,4.552200,4.688766,5000.00,-155.50,-3.1100,stop,158,disc,5.50
17,pf0-short,SUIUSDT,short,2025-01-17T23:00:00Z,2025-01-18T03:43:00Z,4.838800,4.766218,5000.00,69.50,1.3900,tp,283,disc,5.50
18,pf0-short,SUIUSDT,short,2025-01-21T01:00:00Z,2025-01-21T10:50:00Z,4.311700,4.441051,5000.00,-155.50,-3.1100,stop,590,disc,5.50
19,pf0-short,SUIUSDT,short,2025-02-02T22:00:00Z,2025-02-02T23:02:00Z,3.278000,3.228830,5000.00,69.50,1.3900,tp,62,disc,5.50
20,pf0-short,SUIUSDT,short,2025-02-03T10:00:00Z,2025-02-03T11:30:00Z,3.192800,3.144908,5000.00,69.50,1.3900,tp,90,disc,5.50
21,pf0-short,SUIUSDT,short,2025-02-03T18:00:00Z,2025-02-03T20:07:00Z,3.587700,3.533884,5000.00,69.50,1.3900,tp,127,disc,5.50
22,pf0-short,SUIUSDT,short,2025-02-06T09:00:00Z,2025-02-06T11:32:00Z,3.459900,3.408002,5000.00,69.50,1.3900,tp,152,disc,5.50
23,pf0-short,SUIUSDT,short,2025-02-06T23:00:00Z,2025-02-07T01:52:00Z,3.133900,3.227917,5000.00,-155.50,-3.1100,stop,172,disc,5.50
24,pf0-short,SUIUSDT,short,2025-02-07T04:00:00Z,2025-02-07T05:52:00Z,3.186700,3.138899,5000.00,69.50,1.3900,tp,112,disc,5.50
25,pf0-short,SUIUSDT,short,2025-02-09T06:00:00Z,2025-02-09T13:18:00Z,3.091800,3.045423,5000.00,69.50,1.3900,tp,438,disc,5.50
26,pf0-short,SUIUSDT,short,2025-02-09T23:00:00Z,2025-02-10T00:17:00Z,2.993400,3.083202,5000.00,-155.50,-3.1100,stop,77,disc,5.50
27,pf0-short,SUIUSDT,short,2025-02-10T16:00:00Z,2025-02-10T22:53:00Z,3.251500,3.202727,5000.00,69.50,1.3900,tp,413,disc,5.50
28,pf0-short,SUIUSDT,short,2025-02-13T01:00:00Z,2025-02-13T04:30:00Z,3.638700,3.584119,5000.00,69.50,1.3900,tp,210,disc,5.50
29,pf0-short,SUIUSDT,short,2025-02-13T18:00:00Z,2025-02-14T01:46:00Z,3.490400,3.438044,5000.00,69.50,1.3900,tp,466,disc,5.50
30,pf0-short,SUIUSDT,short,2025-02-14T06:00:00Z,2025-02-14T09:22:00Z,3.482800,3.587284,5000.00,-155.50,-3.1100,stop,202,disc,5.50
31,pf0-short,SUIUSDT,short,2025-02-21T07:00:00Z,2025-02-21T14:38:00Z,3.491900,3.439521,5000.00,69.50,1.3900,tp,458,disc,5.50
32,pf0-short,SUIUSDT,short,2025-02-24T08:00:00Z,2025-02-24T10:33:00Z,3.254200,3.205387,5000.00,69.50,1.3900,tp,153,disc,5.50
33,pf0-short,SUIUSDT,short,2025-02-25T03:00:00Z,2025-02-25T04:09:00Z,2.825400,2.783019,5000.00,69.50,1.3900,tp,69,disc,5.50
34,pf0-short,SUIUSDT,short,2025-02-25T08:00:00Z,2025-02-25T09:15:00Z,2.782600,2.740861,5000.00,69.50,1.3900,tp,75,disc,5.50
35,pf0-short,SUIUSDT,short,2025-02-28T18:00:00Z,2025-03-01T04:21:00Z,2.817800,2.902334,5000.00,-155.50,-3.1100,stop,621,disc,5.50
36,pf0-short,SUIUSDT,short,2025-03-04T01:00:00Z,2025-03-04T02:05:00Z,2.514100,2.476389,5000.00,69.50,1.3900,tp,65,disc,5.50
37,pf0-short,SUIUSDT,short,2025-03-06T18:00:00Z,2025-03-06T22:31:00Z,2.806000,2.763910,5000.00,69.50,1.3900,tp,271,disc,5.50
38,pf0-short,SUIUSDT,short,2025-03-07T08:00:00Z,2025-03-07T12:43:00Z,2.796900,2.754946,5000.00,69.50,1.3900,tp,283,disc,5.50
39,pf0-short,SUIUSDT,short,2025-03-07T21:00:00Z,2025-03-07T22:10:00Z,2.633400,2.593899,5000.00,69.50,1.3900,tp,70,disc,5.50
40,pf0-short,SUIUSDT,short,2025-03-10T12:00:00Z,2025-03-10T13:32:00Z,2.376000,2.340360,5000.00,69.50,1.3900,tp,92,disc,5.50
41,pf0-short,SUIUSDT,short,2025-03-10T14:00:00Z,2025-03-10T16:16:00Z,2.228900,2.195466,5000.00,69.50,1.3900,tp,136,disc,5.50
42,pf0-short,SUIUSDT,short,2025-03-10T22:00:00Z,2025-03-11T00:28:00Z,2.098000,2.066530,5000.00,69.50,1.3900,tp,148,disc,5.50
43,pf0-short,SUIUSDT,short,2025-03-12T15:00:00Z,2025-03-13T02:06:00Z,2.229900,2.296797,5000.00,-155.50,-3.1100,stop,666,disc,5.50
44,pf0-short,SUIUSDT,short,2025-03-14T01:00:00Z,2025-03-14T12:20:00Z,2.183200,2.248696,5000.00,-155.50,-3.1100,stop,680,disc,5.50
