trade_id,strategy,symbol,side,entry_time,exit_time,entry_price,exit_price,notional,pnl_usd,pnl_pct,outcome,hold_minutes,split,fees_usd
1,pf0-short,SUIUSDT,short,2024-12-20T19:00:00Z,2024-12-21T05:02:00Z,4.501600,4.726680,5000.00,-255.50,-5.1100,stop,602,disc,5.50
2,pf0-short,SUIUSDT,short,2024-12-27T12:00:00Z,2024-12-27T14:39:00Z,4.330200,4.200294,5000.00,144.50,2.8900,tp,159,disc,5.50
3,pf0-short,SUIUSDT,short,2024-12-27T20:00:00Z,2024-12-28T01:24:00Z,4.152400,4.027828,5000.00,144.50,2.8900,tp,324,disc,5.50
4,pf0-short,SUIUSDT,short,2024-12-31T11:00:00Z,2025-01-01T00:00:00Z,4.234500,4.130000,5000.00,117.89,2.3578,flat,780,disc,5.50
5,pf0-short,SUIUSDT,short,2025-01-09T19:00:00Z,2025-01-10T05:40:00Z,4.672100,4.905705,5000.00,-255.50,-5.1100,stop,640,disc,5.50
6,pf0-short,SUIUSDT,short,2025-01-14T01:00:00Z,2025-01-14T14:00:00Z,4.661800,4.623500,5000.00,35.58,0.7116,flat,780,disc,5.50
7,pf0-short,SUIUSDT,short,2025-01-14T12:00:00Z,2025-01-15T01:00:00Z,4.552200,4.540600,5000.00,7.24,0.1448,flat,780,disc,5.50
8,pf0-short,SUIUSDT,short,2025-01-21T01:00:00Z,2025-01-21T14:00:00Z,4.311700,4.469500,5000.00,-188.49,-3.7698,flat,780,disc,5.50
9,pf0-short,SUIUSDT,short,2025-02-02T22:00:00Z,2025-02-02T23:26:00Z,3.278000,3.179660,5000.00,144.50,2.8900,tp,86,disc,5.50
10,pf0-short,SUIUSDT,short,2025-02-03T10:00:00Z,2025-02-03T13:01:00Z,3.192800,3.097016,5000.00,144.50,2.8900,tp,181,disc,5.50
11,pf0-short,SUIUSDT,short,2025-02-03T18:00:00Z,2025-02-03T22:08:00Z,3.587700,3.767085,5000.00,-255.50,-5.1100,stop,248,disc,5.50
12,pf0-short,SUIUSDT,short,2025-02-06T09:00:00Z,2025-02-06T13:18:00Z,3.459900,3.356103,5000.00,144.50,2.8900,tp,258,disc,5.50
13,pf0-short,SUIUSDT,short,2025-02-06T23:00:00Z,2025-02-07T12:00:00Z,3.133900,3.225400,5000.00,-151.48,-3.0297,flat,780,disc,5.50
14,pf0-short,SUIUSDT,short,2025-02-07T04:00:00Z,2025-02-07T06:35:00Z,3.186700,3.091099,5000.00,144.50,2.8900,tp,155,disc,5.50
15,pf0-short,SUIUSDT,short,2025-02-09T06:00:00Z,2025-02-09T13:49:00Z,3.091800,2.999046,5000.00,144.50,2.8900,tp,469,disc,5.50
